twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
292154805,Kelswhittakerxo,Tue May 03 05:52:30 +0000 2011,False,Manchester ,411,146,230,67
 
created_at,full_text,retweet_count,favorite_count,twitter_url
covid-19
2020-04-21 13:24:34,"So yesterday I got my results back from being tested for covid-19 - I'm positive.

I have no symptoms &amp; I'm lucky enough to be fighting this, but some people aren't. So people listen and stay inside.
#StayAtHomeAndStaySafe",0,1,https://twitter.com/Kelswhittakerxo/status/1252589043969339397
no symptoms
2020-04-21 13:24:34,"So yesterday I got my results back from being tested for covid-19 - I'm positive.

I have no symptoms &amp; I'm lucky enough to be fighting this, but some people aren't. So people listen and stay inside.
#StayAtHomeAndStaySafe",0,1,https://twitter.com/Kelswhittakerxo/status/1252589043969339397
