twitter_id,screen_name,created_at,verified,location,followers_count,friends_count,favourites_count,statuses_count
334827345,henrymartinHM,Wed Jul 13 18:44:19 +0000 2011,False,Dublin & London,1252,3609,4181,9929
 
created_at,full_text,retweet_count,favorite_count,twitter_url
covid19
2020-04-05 17:43:43,"I know newspapers are trying to find stories but I find myself conflicted on Irish Writers on Covid19 as both brilliant, arrogant, pointless, innocent, strange and ... 🤷🏼‍♂️ https://t.co/x2ZdA1A2rY",0,2,https://twitter.com/henrymartinHM/status/1246856056086695938
